timestamp,timestamp_unix_ms,instabuy,instasell,instabuy_volume,instasell_volume
2026-08-06 09:35:00+00:00,1786008900000,107,106,6373,38503
2026-08-06 09:40:00+00:00,1786009200000,107,106,5255,39528
2026-08-06 09:45:00+00:00,1786009500000,107,106,13530,23682
2026-08-06 09:50:00+00:00,1786009800000,107,106,6259,17342
2026-08-06 09:55:00+00:00,1786010100000,107,106,31275,11813
2026-08-06 10:00:00+00:00,1786010400000,105,105,225856,9788
2026-08-06 10:05:00+00:00,1786010700000,106,104,144975,50231
2026-08-06 10:10:00+00:00,1786011000000,107,105,145658,7357
2026-08-06 10:15:00+00:00,1786011300000,107,105,48890,4303
2026-08-06 10:20:00+00:00,1786011600000,107,106,88539,15564
2026-08-06 10:25:00+00:00,1786011900000,107,105,63382,23782
2026-08-06 10:30:00+00:00,1786012200000,107,106,50877,14400
2026-08-06 10:35:00+00:00,1786012500000,107,105,54886,20613
2026-08-06 10:40:00+00:00,1786012800000,107,106,139674,12314
2026-08-06 10:45:00+00:00,1786013100000,107,106,60418,15679
2026-08-06 10:50:00+00:00,1786013400000,108,105,121130,72902
2026-08-06 10:55:00+00:00,1786013700000,107,106,62749,27465
2026-08-06 11:00:00+00:00,1786014000000,104,104,117201,33108
2026-08-06 11:05:00+00:00,1786014300000,107,105,137291,60503
2026-08-06 11:10:00+00:00,1786014600000,107,105,166228,33736
2026-08-06 11:15:00+00:00,1786014900000,107,105,56425,32114
2026-08-06 11:20:00+00:00,1786015200000,107,105,72340,45197
2026-08-06 11:25:00+00:00,1786015500000,107,104,152194,166791
2026-08-06 11:30:00+00:00,1786015800000,107,105,67783,35502
2026-08-06 11:35:00+00:00,1786016100000,107,104,71089,115482
2026-08-06 11:40:00+00:00,1786016400000,107,106,11906,26171
2026-08-06 11:45:00+00:00,1786016700000,107,106,9362,28448
2026-08-06 11:50:00+00:00,1786017000000,107,105,67547,75303
2026-08-06 11:55:00+00:00,1786017300000,107,105,46297,45924
2026-08-06 12:00:00+00:00,1786017600000,107,106,16465,21780
2026-08-06 12:05:00+00:00,1786017900000,106,105,54600,17356
2026-08-06 12:10:00+00:00,1786018200000,107,105,11610,76865
2026-08-06 12:15:00+00:00,1786018500000,107,104,14292,74028
2026-08-06 12:20:00+00:00,1786018800000,106,104,85212,16666
2026-08-06 12:25:00+00:00,1786019100000,107,105,45770,21003
2026-08-06 12:30:00+00:00,1786019400000,107,104,87012,80350
2026-08-06 12:35:00+00:00,1786019700000,107,105,114921,26677
2026-08-06 12:40:00+00:00,1786020000000,108,107,59638,27873
2026-08-06 12:45:00+00:00,1786020300000,107,105,43900,70833
2026-08-06 12:50:00+00:00,1786020600000,106,104,234247,29813
2026-08-06 12:55:00+00:00,1786020900000,107,104,104108,8424
2026-08-06 13:00:00+00:00,1786021200000,108,105,68673,11827
2026-08-06 13:05:00+00:00,1786021500000,108,105,104468,29954
2026-08-06 13:10:00+00:00,1786021800000,108,107,66442,27950
2026-08-06 13:15:00+00:00,1786022100000,107,105,133191,37092
2026-08-06 13:20:00+00:00,1786022400000,107,105,98340,54605
2026-08-06 13:25:00+00:00,1786022700000,108,105,143661,59874
2026-08-06 13:30:00+00:00,1786023000000,108,106,103443,94317
2026-08-06 13:35:00+00:00,1786023300000,106,104,39100,210770
2026-08-06 13:40:00+00:00,1786023600000,107,105,104977,99169
2026-08-06 13:45:00+00:00,1786023900000,107,105,105990,21931
2026-08-06 13:50:00+00:00,1786024200000,107,105,114505,81298
2026-08-06 13:55:00+00:00,1786024500000,107,105,118646,68756
2026-08-06 14:00:00+00:00,1786024800000,107,104,39720,57021
2026-08-06 14:05:00+00:00,1786025100000,107,104,213677,46248
2026-08-06 14:10:00+00:00,1786025400000,107,105,94776,38611
2026-08-06 14:15:00+00:00,1786025700000,107,104,213910,49831
2026-08-06 14:20:00+00:00,1786026000000,107,103,136039,334289
2026-08-06 14:25:00+00:00,1786026300000,107,104,57328,49447
2026-08-06 14:30:00+00:00,1786026600000,108,104,81319,45226
2026-08-06 14:35:00+00:00,1786026900000,107,105,90013,24235
2026-08-06 14:40:00+00:00,1786027200000,107,106,77872,38406
2026-08-06 14:45:00+00:00,1786027500000,107,106,91635,66930
2026-08-06 14:50:00+00:00,1786027800000,108,106,95866,51191
2026-08-06 14:55:00+00:00,1786028100000,107,105,45470,51267
2026-08-06 15:00:00+00:00,1786028400000,108,104,73954,91530
2026-08-06 15:05:00+00:00,1786028700000,108,107,147968,49174
2026-08-06 15:10:00+00:00,1786029000000,108,105,109506,120053
2026-08-06 15:15:00+00:00,1786029300000,108,106,14549,21975
2026-08-06 15:20:00+00:00,1786029600000,107,105,100536,174351
2026-08-06 15:25:00+00:00,1786029900000,108,105,36956,48822
2026-08-06 15:30:00+00:00,1786030200000,107,104,124926,84356
2026-08-06 15:35:00+00:00,1786030500000,107,104,240064,24583
2026-08-06 15:40:00+00:00,1786030800000,107,105,161289,48984
2026-08-06 15:45:00+00:00,1786031100000,108,104,176889,166120
2026-08-06 15:50:00+00:00,1786031400000,108,105,180357,89396
2026-08-06 15:55:00+00:00,1786031700000,107,104,133163,31622
2026-08-06 16:00:00+00:00,1786032000000,105,104,102202,34194
2026-08-06 16:05:00+00:00,1786032300000,106,104,266821,63347
2026-08-06 16:10:00+00:00,1786032600000,107,104,186813,45143
2026-08-06 16:15:00+00:00,1786032900000,106,105,51923,88174
2026-08-06 16:20:00+00:00,1786033200000,106,104,251439,32888
2026-08-06 16:25:00+00:00,1786033500000,106,103,109303,104714
2026-08-06 16:30:00+00:00,1786033800000,107,103,206714,22652
2026-08-06 16:35:00+00:00,1786034100000,103,103,365285,140943
2026-08-06 16:40:00+00:00,1786034400000,107,104,188920,75198
2026-08-06 16:45:00+00:00,1786034700000,106,104,102230,77214
2026-08-06 16:50:00+00:00,1786035000000,106,103,113044,132667
2026-08-06 16:55:00+00:00,1786035300000,105,103,185964,268998
2026-08-06 17:00:00+00:00,1786035600000,106,104,60891,44082
2026-08-06 17:05:00+00:00,1786035900000,106,103,165564,150523
2026-08-06 17:10:00+00:00,1786036200000,104,103,217573,80092
2026-08-06 17:15:00+00:00,1786036500000,108,105,337058,50076
2026-08-06 17:20:00+00:00,1786036800000,108,106,186970,25817
2026-08-06 17:25:00+00:00,1786037100000,108,107,30941,36276
2026-08-06 17:30:00+00:00,1786037400000,107,104,35636,334014
2026-08-06 17:35:00+00:00,1786037700000,107,103,152595,163670
2026-08-06 17:40:00+00:00,1786038000000,107,105,115309,31816
2026-08-06 17:45:00+00:00,1786038300000,108,107,41471,25891
2026-08-06 17:50:00+00:00,1786038600000,108,106,115198,50393
2026-08-06 17:55:00+00:00,1786038900000,108,106,134853,13394
2026-08-06 18:00:00+00:00,1786039200000,107,106,130074,33325
2026-08-06 18:05:00+00:00,1786039500000,107,104,109156,82056
2026-08-06 18:10:00+00:00,1786039800000,107,105,12205,107765
2026-08-06 18:15:00+00:00,1786040100000,107,105,63324,42443
2026-08-06 18:20:00+00:00,1786040400000,108,105,57466,92270
2026-08-06 18:25:00+00:00,1786040700000,108,104,66781,72471
2026-08-06 18:30:00+00:00,1786041000000,107,104,166693,33439
2026-08-06 18:35:00+00:00,1786041300000,107,104,81141,206278
2026-08-06 18:40:00+00:00,1786041600000,108,107,60326,15729
2026-08-06 18:45:00+00:00,1786041900000,109,106,24867,103886
2026-08-06 18:50:00+00:00,1786042200000,107,105,146535,28184
2026-08-06 18:55:00+00:00,1786042500000,108,106,77612,56030
2026-08-06 19:00:00+00:00,1786042800000,108,104,68658,111461
2026-08-06 19:05:00+00:00,1786043100000,108,106,113717,28533
2026-08-06 19:10:00+00:00,1786043400000,107,104,54550,57729
2026-08-06 19:15:00+00:00,1786043700000,107,105,69046,62170
2026-08-06 19:20:00+00:00,1786044000000,106,106,27958,21760
2026-08-06 19:25:00+00:00,1786044300000,107,104,127689,29700
